system:index,count,.geo
2018_11_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2018_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_03_01_0,74,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_04_01_0,214,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_05_01_0,184,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_06_01_0,2525,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_07_01_0,9827,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_08_01_0,263,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_09_01_0,24,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_10_01_0,120,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_11_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2019_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_01_01_0,3,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_03_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_04_01_0,533,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_05_01_0,2057,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_06_01_0,2687,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_07_01_0,255,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_08_01_0,573,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_09_01_0,26,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_10_01_0,159,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_11_01_0,66,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2020_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_03_01_0,43,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_04_01_0,111,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_05_01_0,6546,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2021_06_01_0,1777,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
