system:index,count,.geo
2005_01_01_0,58,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_02_01_0,766,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_03_01_0,176,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_04_01_0,1688,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_05_01_0,3504,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_06_01_0,33074,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_07_01_0,25088,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_08_01_0,3496,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_09_01_0,524,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_10_01_0,1529,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_11_01_0,193,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2005_12_01_0,63,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_01_01_0,238,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_02_01_0,7,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_03_01_0,710,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_04_01_0,1120,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_05_01_0,1216,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_06_01_0,41449,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_07_01_0,31444,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_08_01_0,4605,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_09_01_0,7900,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_10_01_0,532,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_11_01_0,15,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2006_12_01_0,38,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2007_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2007_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2007_03_01_0,236,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2007_04_01_0,717,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
